TRAT_QUEMA,TRAT_PASTO,ID_QUADRAT,FECHA_MUESTREOS,COB_TOTAL,COB_MANTILLO,COB_DESNUDO,COBERTURA
Quema_primavera_2024,Pastoreo,77,2025-05-22,4,10,86,13.25
Quema_primavera_2024,Pastoreo,78,2025-05-22,10,60,30,37.95
Quema_primavera_2024,No pastoreo,79,2025-05-22,20,2,78,29.2
Quema_primavera_2024,Pastoreo,80,2025-05-22,20,68,12,38.05
Quema_primavera_2024,No pastoreo,81,2025-05-22,15,15,70,34.29
Quema_primavera_2024,No pastoreo,82,2025-05-22,18,62,20,54.52
No_quemado,Pastoreo,84,2025-05-22,80,15,5,132.22
No_quemado,Pastoreo,87,2025-05-22,95,2,3,134.17
No_quemado,Pastoreo,88,2025-05-22,82,15,3,83.44
Quema_otono_2023,Pastoreo,89,2025-05-22,15,1,84,15.99
Quema_otono_2023,Pastoreo,90,2025-05-22,23,10,67,63.09
Quema_otono_2023,No pastoreo,91,2025-05-22,65,10,25,110.41
Quema_otono_2023,No pastoreo,92,2025-05-22,40,6,54,42.72
Quema_otono_2023,No pastoreo,93,2025-05-22,35,5,60,23.9
Quema_otono_2023,Pastoreo,94,2025-05-22,22,28,50,13.66
Quema_otono_2023,No pastoreo,95,2025-05-22,45,12,43,55.94
Quema_otono_2023,No pastoreo,96,2025-05-22,45,47,8,72.64
Quema_otono_2023,Pastoreo,97,2025-05-22,40,10,50,50
Quema_otono_2023,No pastoreo,98,2025-05-22,45,20,35,30.64
Quema_otono_2023,Pastoreo,99,2025-05-22,30,5,65,23.43
Quema_otono_2023,Pastoreo,100,2025-05-22,55,10,35,46.74
No_quemado,No pastoreo,102,2025-05-22,90,8,2,86.44
No_quemado,No pastoreo,103,2025-05-22,85,10,5,85.01
No_quemado,Pastoreo,104,2025-05-22,90,5,5,118.8
No_quemado,Pastoreo,105,2025-05-22,65,10,25,62.81
No_quemado,No pastoreo,106,2025-05-22,65,10,25,110.51
Quema_primavera_2024,Pastoreo,107,2025-05-22,25,10,65,36.54
Quema_primavera_2024,No pastoreo,108,2025-05-22,30,55,15,54.68
Quema_primavera_2024,No pastoreo,109,2025-05-22,5,25,70,11.59
Quema_primavera_2024,Pastoreo,110,2025-05-22,12,18,70,22.16
Quema_primavera_2024,No pastoreo,111,2025-05-22,12,25,63,26.54
Quema_primavera_2024,Pastoreo,112,2025-05-22,7,10,83,14.02
No_quemado,No pastoreo,113,2025-05-22,85,13,2,99.91
No_quemado,Pastoreo,114,2025-05-22,75,15,10,115.63
No_quemado,Pastoreo,115,2025-05-22,92,5,3,121.13
No_quemado,No pastoreo,116,2025-05-22,97,2,1,97.59
No_quemado,Pastoreo,117,2025-05-22,76,10,14,79.79
No_quemado,No pastoreo,118,2025-05-22,30,66,4,38.36
Quema_primavera_2024,Pastoreo,119,2025-05-22,7,3,90,21.37
Quema_primavera_2024,No pastoreo,120,2025-05-22,20,5,75,57.35
Quema_primavera_2024,No pastoreo,121,2025-05-22,20,15,70,18.75
Quema_primavera_2024,Pastoreo,122,2025-05-22,12,10,78,15.44
Quema_primavera_2024,No pastoreo,123,2025-05-22,60,25,15,31.6
Quema_primavera_2024,Pastoreo,124,2025-05-22,25,16,52,24.69
Quema_otono_2023,No pastoreo,125,2025-05-22,12,20,68,70.41
Quema_otono_2023,Pastoreo,126,2025-05-22,35,5,60,37.35
Quema_otono_2023,No pastoreo,127,2025-05-22,35,3,62,30.98
Quema_otono_2023,Pastoreo,128,2025-05-22,18,12,70,19.36
Quema_otono_2023,Pastoreo,129,2025-05-22,30,1,69,32.2
Quema_otono_2023,No pastoreo,130,2025-05-22,25,2,73,38.32
No_quemado,No pastoreo,131,2025-05-22,98,2,0,144.14
No_quemado,Pastoreo,132,2025-05-22,55,38,7,58.62
No_quemado,Pastoreo,134,2025-05-22,94,3,3,125.02
No_quemado,No pastoreo,135,2025-05-22,97,3,,116.48
No_quemado,Pastoreo,136,2025-05-22,25,52,23,31.05
Quema_primavera_2024,Pastoreo,137,2025-05-22,5,20,75,27.1
Quema_primavera_2024,Pastoreo,138,2025-05-22,12,63,25,27.5
Quema_primavera_2024,No pastoreo,139,2025-05-22,40,7,53,60.47
Quema_primavera_2024,Pastoreo,140,2025-05-22,18,12,70,39.92
Quema_primavera_2024,No pastoreo,141,2025-05-22,50,10,40,61.74
Quema_primavera_2024,No pastoreo,142,2025-05-22,8,32,60,34.07
Quema_otono_2023,No pastoreo,143,2025-05-22,60,1,39,66.26
Quema_otono_2023,Pastoreo,144,2025-05-22,30,4,66,50.6
Quema_otono_2023,No pastoreo,145,2025-05-22,50,0,50,59.04
Quema_otono_2023,Pastoreo,146,2025-05-22,30,5,65,52.28
Quema_otono_2023,No pastoreo,147,2025-05-22,40,15,45,41.38
Quema_otono_2023,Pastoreo,148,2025-05-22,35,15,50,42.24
No_quemado,No pastoreo,169,2025-05-22,70,15,15,80.65
No_quemado,No pastoreo,170,2025-05-22,80,18,2,142.44
Quema_primavera_2024,No pastoreo,171,2025-05-22,81,12,7,88.44
No_quemado,No pastoreo,172,2025-05-22,90,9,1,110.15
No_quemado,No pastoreo,173,2025-05-22,80,17,3,77.97
