ID_QUADRAT,TRAT_QUEMA,FITOVOL,FECHA_MUESTREOS,PORC_SOFLAMADO,PORC_QUEMADO,FITOVOLUMEN_CALCULADO
77,Quema_primavera_2024,7758.84,2023-10-24,,,7758.84
78,Quema_primavera_2024,5197.588,2023-10-24,,,5197.588
79,Quema_primavera_2024,9914.46,2023-10-24,,,9914.46
80,Quema_primavera_2024,2141.32,2023-10-24,,,2141.32
81,Quema_primavera_2024,6139.334,2023-10-24,,,6139.334
82,Quema_primavera_2024,4939.58,2023-10-24,,,4939.58
107,Quema_primavera_2024,2910.25,2023-10-24,,,2910.25
108,Quema_primavera_2024,906.31,2023-10-24,,,906.31
109,Quema_primavera_2024,1116.83,2023-10-24,,,1116.83
110,Quema_primavera_2024,2619.18,2023-10-24,,,2619.18
111,Quema_primavera_2024,1176.85,2023-10-24,,,1176.85
112,Quema_primavera_2024,2139.05,2023-10-24,,,2139.05
119,Quema_primavera_2024,2889.94,2023-10-24,,,2889.94
120,Quema_primavera_2024,1766.95,2023-10-24,,,1766.95
121,Quema_primavera_2024,2302.48,2023-10-24,,,2302.48
122,Quema_primavera_2024,1285.15,2023-10-24,,,1285.15
123,Quema_primavera_2024,2306.23,2023-10-24,,,2306.23
124,Quema_primavera_2024,2431.11,2023-10-24,,,2431.11
137,Quema_primavera_2024,5967.92,2023-10-24,,,5967.92
138,Quema_primavera_2024,1699.71,2023-10-24,,,1699.71
139,Quema_primavera_2024,1056.06,2023-10-24,,,1056.06
140,Quema_primavera_2024,8617.78,2023-10-24,,,8617.78
141,Quema_primavera_2024,1431.25,2023-10-24,,,1431.25
142,Quema_primavera_2024,4344.95,2023-10-24,,,4344.95
89,Quema_otono_2023,4755.96,2023-10-24,0,100,0
90,Quema_otono_2023,22541.53,2023-10-24,42,58,0
91,Quema_otono_2023,6096.85,2023-10-24,35,65,0
92,Quema_otono_2023,4533.94,2023-10-24,0,100,0
93,Quema_otono_2023,1698.47,2023-10-24,0,100,0
94,Quema_otono_2023,1659.02,2023-10-24,15,85,0
95,Quema_otono_2023,2074.97,2023-10-24,19,68,269.7461
96,Quema_otono_2023,1847.11,2023-10-24,48,17,646.4885
97,Quema_otono_2023,2630.736,2023-10-24,31,67,52.6147200000001
98,Quema_otono_2023,738.84,2023-10-24,37,49,103.4376
99,Quema_otono_2023,2555.94,2023-10-24,9,91,0
100,Quema_otono_2023,1413.44,2023-10-24,19,70,155.4784
125,Quema_otono_2023,1205,2023-10-24,50,50,0
126,Quema_otono_2023,984.93,2023-10-24,3,97,0
127,Quema_otono_2023,5355.72,2023-10-24,12,87,53.5572
128,Quema_otono_2023,894.56,2023-10-24,13,83,35.7824
129,Quema_otono_2023,4321.02,2023-10-24,1,99,0
130,Quema_otono_2023,2107.69,2023-10-24,0,100,0
143,Quema_otono_2023,4551.07,2023-10-24,0,100,0
144,Quema_otono_2023,5720.93,2023-10-24,10,90,0
145,Quema_otono_2023,3748.95,2023-10-24,0,100,0
146,Quema_otono_2023,9987.33,2023-10-24,0,100,0
147,Quema_otono_2023,1185.73,2023-10-24,40,60,0
148,Quema_otono_2023,1498.39,2023-10-24,37,60,44.9517
83,No_quemado,6287.67,2023-10-24,,,6287.67
84,No_quemado,1414.94,2023-10-24,,,1414.94
85,No_quemado,2479.6,2023-10-24,,,2479.6
86,No_quemado,14292.91,2023-10-24,,,14292.91
87,No_quemado,6609.78,2023-10-24,,,6609.78
88,No_quemado,1947.25,2023-10-24,,,1947.25
101,No_quemado,2165.25,2023-10-24,,,2165.25
102,No_quemado,2968.995,2023-10-24,,,2968.995
103,No_quemado,2885.69,2023-10-24,,,2885.69
104,No_quemado,2627.88,2023-10-24,,,2627.88
105,No_quemado,1661.89,2023-10-24,,,1661.89
106,No_quemado,1067.88,2023-10-24,,,1067.88
113,No_quemado,2626.93,2023-10-24,,,2626.93
114,No_quemado,3392.16,2023-10-24,,,3392.16
115,No_quemado,3832.14,2023-10-24,,,3832.14
116,No_quemado,4710.29,2023-10-24,,,4710.29
117,No_quemado,2296.27,2023-10-24,,,2296.27
118,No_quemado,1721.46,2023-10-24,,,1721.46
131,No_quemado,1982.13,2023-10-24,,,1982.13
132,No_quemado,2975.39,2023-10-24,,,2975.39
133,No_quemado,2105.54,2023-10-24,,,2105.54
134,No_quemado,12609.94,2023-10-24,,,12609.94
135,No_quemado,4760.6,2023-10-24,,,4760.6
136,No_quemado,717.61,2023-10-24,,,717.61
