ID_QUADRAT,cobertura_calculada,quema,tratamientos
45,51.3792633814549,Control,Control
44,81.3533171752665,Control,Control
28,71.345573109538,Control,Control
29,41.7913932283846,Control,Control
30,25.6143130546167,Control,Control
31,23.0619818013084,Control,Control
32,25.3923332473849,Control,Control
33,27.7950867132988,Control,Control
35,50.8290013820148,Control,Control
34,87.2365180855393,Control,Control
36,67.6059888444247,Control,Control
37,30.6702874879314,Control,Control
38,23.3537817092252,Control,Control
39,13.4462539332845,Control,Control
40,58.4605386265947,Control,Control
41,21.3306733864658,Control,Control
42,39.6488786346635,Control,Control
43,9.23440938803101,Control,Control
23,0.62320066095592,Quema,Quema - Pastoreo
46,3.01386378293866,Quema,Quema - Excluido
21,8.16416853899661,Quema,Quema - Excluido
22,0.137129233339889,Quema,Quema - Pastoreo
26,0.483820732753527,Quema,Quema - Pastoreo
24,5.41908580898774,Quema,Quema - Excluido
25,6.28915635231109,Quema,Quema - Excluido
27,2.19876481391204,Quema,Quema - Pastoreo
17,10.8504699322574,Quema,Quema - Excluido
18,31.3617901927298,Quema,Quema - Excluido
19,1.7098346423323,Quema,Quema - Pastoreo
20,0.704485866963823,Quema,Quema - Pastoreo
16,1.97988308654269,Quema,Quema - Pastoreo
15,0.359089583676074,Quema,Quema - Pastoreo
13,9.36989655338011,Quema,Quema - Excluido
14,6.67265724597439,Quema,Quema - Excluido
47,0.802429186980958,Quema,Quema - Pastoreo
48,3.56041848417273,Quema,Quema - Pastoreo
49,7.97080466989554,Quema,Quema - Excluido
50,5.43269373515019,Quema,Quema - Excluido
11,2.25181609991043,Quema,Quema - Pastoreo
12,1.07814958458734,Quema,Quema - Pastoreo
9,19.2495961153045,Quema,Quema - Excluido
10,19.3171253999204,Quema,Quema - Excluido
1,0.716408584026093,Quema,Quema - Pastoreo
2,0.701506552355101,Quema,Quema - Pastoreo
3,13.4943098309879,Quema,Quema - Excluido
4,9.66289762151964,Quema,Quema - Excluido
6,7.64123505943652,Quema,Quema - Pastoreo
5,4.84194726831001,Quema,Quema - Pastoreo
7,12.4965783431025,Quema,Quema - Excluido
8,3.30456123012287,Quema,Quema - Excluido
51,4.10221601816327,Quema,Quema - Excluido
52,12.1453101598741,Quema,Quema - Excluido
53,2.61425688791947,Quema,Quema - Pastoreo
