"ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_prequema"
"90,3.917232149626973,80,Quema,Control"
"93,0.0,37,Quema,Control"
"94,0.5166567813718371,40,Quema,Control"
"92,0.0,85,Quema,Control"
"89,3.7144887400782216,73,Quema,Control"
"95,0.0,50,Quema,Control"
"99,8.362829121081264,52,Quema,Control"
"85,0.0,82,Control,Control"
"97,0.0,70,Quema,Control"
"86,7.884625086230232,60,Control,Control"
"83,0.0,50,Control,Control"
"88,0.0,60,Control,Control"
"84,5.105679924042418,80,Control,Control"
"78,0.0,47,Quema,Control"
"87,0.6568908019278157,90,Control,Control"
"79,0.0,80,Quema,Control"
"80,0.0,20,Quema,Control"
"81,9.604244825412012,90,Quema,Control"
"77,0.0,90,Quema,Control"
"91,0.26086250555956114,95,Quema,Control"
"82,0.0,36,Quema,Control"
"102,0.7918098286020565,90,Control,Control"
"105,0.0,40,Control,Control"
"101,0.0,25,Control,Control"
"103,0.0,79,Control,Control"
"104,0.0,82,Control,Control"
"112,0.0,70,Quema,Control"
"106,0.0,45,Control,Control"
"110,0.0,50,Quema,Control"
"108,0.0,35,Quema,Control"
"107,0.0,70,Quema,Control"
"109,0.2879237725800683,40,Quema,Control"
"100,0.0,55,Quema,Control"
"111,0.0,40,Quema,Control"
"96,0.5027176281027542,37,Quema,Control"
"98,0.0,44,Quema,Control"
"140,0.24435255981323611,95,Quema,Control"
"123,0.0,91,Quema,Control"
"141,0.0,62,Quema,Control"
"139,0.4780662378853677,43,Quema,Control"
"134,0.0,85,Control,Control"
"137,0.0,83,Quema,Control"
"132,0.0,65,Control,Control"
"136,0.4364914452356474,34,Control,Control"
"131,0.0,99,Control,Control"
"133,0.0,79,Control,Control"
"113,0.733291497657467,75,Control,Control"
"135,0.7228108250926075,61,Control,Control"
"121,0.0,73,Quema,Control"
"114,0.0,60,Control,Control"
"128,0.0,58,Quema,Control"
"126,0.0,78,Quema,Control"
"125,0.0,60,Quema,Control"
"127,0.0,85,Quema,Control"
"130,0.0,90,Quema,Control"
"119,0.26686224448651946,85,Quema,Control"
"129,0.0,70,Quema,Control"
"122,0.0,40,Quema,Control"
"120,0.0,83,Quema,Control"
"115,0.0,95,Control,Control"
"117,1.9468886041756612,72,Control,Control"
"138,0.0,60,Quema,Control"
"118,0.2444933581087446,60,Control,Control"
"142,0.0,90,Quema,Control"
"148,2.822626690856421,60,Quema,Control"
"145,0.0,90,Quema,Control"
"143,1.33857914524676,70,Quema,Control"
"146,11.254624309106383,70,Quema,Control"
"147,0.0,43,Quema,Control"
"144,3.6628789829045183,88,Quema,Control"
"124,0.0,69,Quema,Control"
"116,3.403614916944031,94,Control,Control"
