"ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_quema_primavera"
"90,7.216419630614913,10,Quema,Quema otoño / Pastoreo"
"93,8.783891366731618,30,Quema,Quema otoño / No pastoreo"
"94,0.7384636513545845,10,Quema,Quema otoño / Pastoreo"
"92,14.432342962257238,15,Quema,Quema otoño / No pastoreo"
"89,1.6335885263835317,6,Quema,Quema otoño / Pastoreo"
"95,3.3244466801238124,20,Quema,Quema otoño / No pastoreo"
"99,7.711671369281642,25,Quema,Quema otoño / Pastoreo"
"97,9.878830340033064,40,Quema,Quema otoño / Pastoreo"
"88,67.93547912821454,55,Control,Control / Pastoreo"
"84,75.02453889727805,90,Control,Control / Pastoreo"
"78,0.0,3,Quema,Quema primavera / Pastoreo"
"87,88.5697361235238,92,Control,Control / Pastoreo"
"79,7.4557000818289945,6,Quema,Quema primavera / No pastoreo"
"80,8.126872929669386,6,Quema,Quema primavera / Pastoreo"
"81,0.0,1,Quema,Quema primavera / No pastoreo"
"77,0.0,1,Quema,Quema primavera / Pastoreo"
"91,16.65413935036993,10,Quema,Quema otoño / No pastoreo"
"82,19.352070330135202,8,Quema,Quema primavera / No pastoreo"
"102,59.353641160498505,90,Control,Control / No pastoreo"
"105,54.42139943519068,60,Control,Control / Pastoreo"
"103,48.45515501724981,83,Control,Control / No pastoreo"
"104,28.64714690746809,92,Control,Control / Pastoreo"
"112,2.537201229566551,8,Quema,Quema primavera / Pastoreo"
"106,41.340330791447094,55,Control,Control / No pastoreo"
"110,0.0,5,Quema,Quema primavera / Pastoreo"
"108,0.0,3,Quema,Quema primavera / No pastoreo"
"107,7.991018825985235,5,Quema,Quema primavera / Pastoreo"
"109,0.0,1,Quema,Quema primavera / No pastoreo"
"100,7.3907364862839176,35,Quema,Quema otoño / Pastoreo"
"111,0.0,4,Quema,Quema primavera / No pastoreo"
"98,1.0334916326206314,25,Quema,Quema otoño / No pastoreo"
"169,21.448991143979303,65,Control,Control / No pastoreo"
"171,69.03458788726066,80,Control,Control / No pastoreo"
"170,77.58214910176301,80,Control,Control / No pastoreo"
"172,72.8177541942261,94,Control,Control / No pastoreo"
"140,15.346176051381988,8,Quema,Quema primavera / Pastoreo"
"123,3.899161458806381,5,Quema,Quema primavera / No pastoreo"
"141,19.06222915438875,7,Quema,Quema primavera / No pastoreo"
"139,1.3857320289902455,4,Quema,Quema primavera / No pastoreo"
"134,97.51830588896671,95,Control,Control / Pastoreo"
"137,0.0,2,Quema,Quema primavera / Pastoreo"
"132,51.3390683580021,55,Control,Control / Pastoreo"
"136,36.902323855017386,25,Control,Control / Pastoreo"
"131,96.96145125130133,96,Control,Control / No pastoreo"
"113,55.263855285006855,91,Control,Control / No pastoreo"
"135,65.88093518225855,72,Control,Control / No pastoreo"
"121,3.4682229971009475,3,Quema,Quema primavera / No pastoreo"
"114,61.37417136026792,90,Control,Control / Pastoreo"
"114,61.37417136026792,94,Control,Control / Pastoreo"
"128,1.1862731023795952,12,Quema,Quema otoño / Pastoreo"
"125,5.475473648384648,22,Quema,Quema otoño / No pastoreo"
"127,8.697813397712885,12,Quema,Quema otoño / No pastoreo"
"130,19.62817615240863,15,Quema,Quema otoño / No pastoreo"
"119,0.0,2,Quema,Quema primavera / Pastoreo"
"129,18.398386066676764,10,Quema,Quema otoño / Pastoreo"
"122,2.454183247974664,2,Quema,Quema primavera / Pastoreo"
"120,1.8976196991619578,2,Quema,Quema primavera / No pastoreo"
"117,34.09487046225819,70,Control,Control / Pastoreo"
"138,0.45946570409165927,4,Quema,Quema primavera / Pastoreo"
"118,21.02456401911392,50,Control,Control / No pastoreo"
"142,0.41833949595980713,2,Quema,Quema primavera / No pastoreo"
"148,12.396545808151266,30,Quema,Quema otoño / Pastoreo"
"145,41.53185867485444,27,Quema,Quema otoño / No pastoreo"
"143,32.592263419684166,30,Quema,Quema otoño / No pastoreo"
"146,30.771928302707497,15,Quema,Quema otoño / Pastoreo"
"147,19.423146990142182,20,Quema,Quema otoño / No pastoreo"
"144,17.47429267694317,20,Quema,Quema otoño / Pastoreo"
"124,1.9213782583815902,2,Quema,Quema primavera / Pastoreo"
"116,19.496668232505083,92,Control,Control / No pastoreo"
"173,39.84391951110503,70,Control,Control / No pastoreo"
