ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_prequema
90,77.34690155766282,69,Quema,Control
93,14.130223237415823,50,Quema,Control
94,32.82942454751335,45,Quema,Control
92,60.065209093338886,75,Quema,Control
89,49.21588550219397,70,Quema,Control
95,41.716490594439115,50,Quema,Control
99,35.69996872546526,60,Quema,Control
85,80.99186353605259,90,Control,Control
97,47.18431513346967,70,Quema,Control
86,65.9725779877703,65,Control,Control
83,52.88332903475891,55,Control,Control
88,41.93288093832381,65,Control,Control
84,86.08065941486622,85,Control,Control
78,40.11172738889179,47,Quema,Control
87,86.92996151246709,88,Control,Control
79,83.54818993927546,80,Quema,Control
80,43.94841072871135,45,Quema,Control
81,83.14266633300204,88,Quema,Control
77,92.7164629806367,85,Quema,Control
91,97.2625778357075,90,Quema,Control
82,67.97263447017406,60,Quema,Control
102,61.81733212318045,85,Control,Control
105,51.75141597662722,55,Control,Control
101,27.748855546359017,70,Control,Control
103,66.4880772029984,86,Control,Control
104,85.42323462483363,85,Control,Control
112,72.15138140169,70,Quema,Control
106,34.962838574902115,55,Control,Control
110,43.161088168763946,60,Quema,Control
108,37.525795987228875,35,Quema,Control
107,71.88379756223564,75,Quema,Control
109,57.1537972417676,35,Quema,Control
100,56.75221032769,55,Quema,Control
111,51.146435228183186,45,Quema,Control
96,35.63966790954446,40,Quema,Control
98,33.60462180592157,40,Quema,Control
