ID_QUADRAT,cobertura_calculada,COB_TOTAL,quema,tratamientos_quema_primavera
140,18.8876012940086,18,Quema,Quema primavera / Pastoreo
123,8.04202050878816,60,Quema,Quema primavera / No pastoreo
141,30.39652757051179,50,Quema,Quema primavera / No pastoreo
139,6.004838792291064,40,Quema,Quema primavera / No pastoreo
134,98.57369880984297,94,Control,Control / Pastoreo
137,2.1104488656252074,5,Quema,Quema primavera / Pastoreo
132,66.03968264553573,55,Control,Control / Pastoreo
136,52.08499424108168,25,Control,Control / Pastoreo
131,97.19852081426296,98,Control,Control / No pastoreo
113,71.55960748443195,85,Control,Control / No pastoreo
135,86.59967451519499,97,Control,Control / No pastoreo
121,6.440985566044617,20,Quema,Quema primavera / No pastoreo
114,76.65706778594729,75,Control,Control / Pastoreo
128,7.8294024757053275,18,Quema,Quema otoño / Pastoreo
126,34.88128078285471,35,Quema,Quema otoño / Pastoreo
125,13.093523941789378,12,Quema,Quema otoño / No pastoreo
127,20.626243200290553,35,Quema,Quema otoño / No pastoreo
130,30.238001099656543,25,Quema,Quema otoño / No pastoreo
119,0.7735320551999896,7,Quema,Quema primavera / Pastoreo
129,29.344261321535093,30,Quema,Quema otoño / Pastoreo
122,5.39920314554426,12,Quema,Quema primavera / Pastoreo
120,4.269644323114406,20,Quema,Quema primavera / No pastoreo
115,52.3799805901364,92,Control,Control / Pastoreo
117,46.32199642113699,76,Control,Control / Pastoreo
138,2.7567942245499557,12,Quema,Quema primavera / Pastoreo
118,34.962196346391686,30,Control,Control / No pastoreo
142,1.2550184878794215,8,Quema,Quema primavera / No pastoreo
148,29.007917191073968,35,Quema,Quema otoño / Pastoreo
145,50.97091746459409,50,Quema,Quema otoño / No pastoreo
143,43.19768246894648,60,Quema,Quema otoño / No pastoreo
146,40.258011463692526,30,Quema,Quema otoño / Pastoreo
147,33.223804062085314,40,Quema,Quema otoño / No pastoreo
144,33.1790367283731,30,Quema,Quema otoño / Pastoreo
124,7.925685315824059,25,Quema,Quema primavera / Pastoreo
116,44.865826896487604,97,Control,Control / No pastoreo
173,63.10682903932784,80,Control,Control / No pastoreo
