tratamientos,r.squared,r2_ajustado,rmse,p_valor,indice,fecha,cobertura_ajuste
Prequema,0.3847460201553061,0.3726822166289396,16.584046333573255,7.278792834326796e-07,NDVI,2022-11-07,COB_TOTAL
Control,0.6785608627439321,0.6584709166654279,12.66043122011374,2.650123490865002e-05,NDVI,2023-06-22,COB_TOTAL
Quema - Excluido,0.2551890638159168,0.2086383803044116,3.100438056972889,0.0324860905244029,NDVI,2023-06-22,COB_TOTAL
Quema - Pastoreo,0.2395361643730437,0.1888385753312466,1.278378540893866,0.0461542946816953,NDVI,2023-06-22,COB_TOTAL
Control,0.489683968998018,0.4577892170603941,17.113083073814096,0.0012255936588564,NDVI,2023-11-14,COB_TOTAL
Quema - Excluido,0.6726967110571509,0.6522402554982228,4.5087881904744,3.073868992236549e-05,NDVI,2023-11-14,COB_TOTAL
Quema - Pastoreo,0.2012317133346042,0.1479804942235778,3.1936146718238176,0.0709046888980329,NDVI,2023-11-14,COB_TOTAL
Control,0.6743189493668915,0.6539638837023223,13.817760887121326,2.9510510885897003e-05,NDVI,2024-06-17,COB_TOTAL
Quema - Excluido,0.4690383131853774,0.4358532077594635,7.196076250302699,0.0017129841650147,NDVI,2024-06-17,COB_TOTAL
Quema - Pastoreo,0.0003127074850923,-0.0663331120159014,6.806082933340904,0.9462933919053896,NDVI,2024-06-17,COB_TOTAL
Control,0.4830169714991877,0.450705532217887,15.809937190270633,0.0013673249037572,NDVI,2024-11-20,COB_TOTAL
Quema - Excluido,0.5293548643602674,0.499939543382784,5.815589599181736,0.0006212835850151,NDVI,2024-11-20,COB_TOTAL
Quema - Pastoreo,0.2095127166814041,0.1568135644601644,5.614845752896868,0.0646710591486773,NDVI,2024-11-20,COB_TOTAL
Control,0.5919840061133413,0.5664830064954252,12.071680177861818,0.0001892149542666,NDVI,2025-05-19,COB_TOTAL
Quema - Excluido,0.1993785418828871,0.1493397007505675,13.504213289604106,0.0632314095118472,NDVI,2025-05-19,COB_TOTAL
Quema - Pastoreo,0.1887436648529422,0.1346599091764716,8.458701281081966,0.0814063591049459,NDVI,2025-05-19,COB_TOTAL
Prequema,0.3114803800285492,0.2979799953232267,14.216511374396074,1.4112256606532187e-05,NDVI,2022-11-07,COB_TOTAL_VERDE
Control,0.6712030399043546,0.6506532298983767,11.376130968377112,3.190919610399516e-05,NDVI,2023-06-22,COB_TOTAL_VERDE
Quema - Excluido,0.2467875603276125,0.1997117828480884,3.118230197553557,0.0359718499471551,NDVI,2023-06-22,COB_TOTAL_VERDE
